~id,~from,~to,~label
63_salternative_rock,a_63,s_alternative_rock,hasSubgenre
63_sarena_rock,a_63,s_arena_rock,hasSubgenre
64_1971,a_64,y_1971,hasYear
64_athe_rolling_stones,a_64,a_the_rolling_stones,hasArtist
64_grock,a_64,g_rock,hasGenre
64_sclassic_rock,a_64,s_classic_rock,hasSubgenre
65_1991,a_65,y_1991,hasYear
65_aphil_spector,a_65,a_phil_spector,hasArtist
65_grock,a_65,g_rock,hasGenre
65_gfunk___soul,a_65,g_funk___soul,hasGenre
65_gpop,a_65,g_pop,hasGenre
65_sdoo_wop,a_65,s_doo_wop,hasSubgenre
65_spop_rock,a_65,s_pop_rock,hasSubgenre
65_sballad,a_65,s_ballad,hasSubgenre
65_srhythm___blues,a_65,s_rhythm___blues,hasSubgenre
66_1970,a_66,y_1970,hasYear
66_avan_morrison,a_66,a_van_morrison,hasArtist
66_gjazz,a_66,g_jazz,hasGenre
66_grock,a_66,g_rock,hasGenre
66_gfunk___soul,a_66,g_funk___soul,hasGenre
66_gfolk,a_66,g_folk,hasGenre
66_gworld,a_66,g_world,hasGenre
66_g__country,a_66,g___country,hasGenre
66_sfolk_rock,a_66,s_folk_rock,hasSubgenre
66_srhythm___blues,a_66,s_rhythm___blues,hasSubgenre
66_sclassic_rock,a_66,s_classic_rock,hasSubgenre
66_scontemporary_jazz,a_66,s_contemporary_jazz,hasSubgenre
67_2000,a_67,y_2000,hasYear
67_aradiohead,a_67,a_radiohead,hasArtist
67_gelectronic,a_67,g_electronic,hasGenre
67_grock,a_67,g_rock,hasGenre
67_salternative_rock,a_67,s_alternative_rock,hasSubgenre
67_sidm,a_67,s_idm,hasSubgenre
67_sexperimental,a_67,s_experimental,hasSubgenre
68_1979,a_68,y_1979,hasYear
68_amichael_jackson,a_68,a_michael_jackson,hasArtist
68_gfunk___soul,a_68,g_funk___soul,hasGenre
68_gpop,a_68,g_pop,hasGenre
68_sdisco,a_68,s_disco,hasSubgenre
68_ssoul,a_68,s_soul,hasSubgenre
68_sballad,a_68,s_ballad,hasSubgenre
69_1971,a_69,y_1971,hasYear
69_aled_zeppelin,a_69,a_led_zeppelin,hasArtist
69_grock,a_69,g_rock,hasGenre
69_shard_rock,a_69,s_hard_rock,hasSubgenre
69_sclassic_rock,a_69,s_classic_rock,hasSubgenre
69_sblues_rock,a_69,s_blues_rock,hasSubgenre
70_1977,a_70,y_1977,hasYear
70_abilly_joel,a_70,a_billy_joel,hasArtist
70_grock,a_70,g_rock,hasGenre
70_spop_rock,a_70,s_pop_rock,hasSubgenre
71_1986,a_71,y_1986,hasYear
71_apaul_simon,a_71,a_paul_simon,hasArtist
71_gjazz,a_71,g_jazz,hasGenre
71_grock,a_71,g_rock,hasGenre
71_gfunk___soul,a_71,g_funk___soul,hasGenre
71_gpop,a_71,g_pop,hasGenre
71_gfolk,a_71,g_folk,hasGenre
71_gworld,a_71,g_world,hasGenre
71_g__country,a_71,g___country,hasGenre
71_sfolk_rock,a_71,s_folk_rock,hasSubgenre
71_spop_rock,a_71,s_pop_rock,hasSubgenre
71_safrican,a_71,s_african,hasSubgenre
71_safrobeat,a_71,s_afrobeat,hasSubgenre
71_szydeco,a_71,s_zydeco,hasSubgenre
71_sfunk,a_71,s_funk,hasSubgenre
71_srhythm___blues,a_71,s_rhythm___blues,hasSubgenre
72_1972,a_72,y_1972,hasYear
72_acurtis_mayfield,a_72,a_curtis_mayfield,hasArtist
72_gfunk___soul,a_72,g_funk___soul,hasGenre
72_gstage___screen,a_72,g_stage___screen,hasGenre
72_ssoundtrack,a_72,s_soundtrack,hasSubgenre
72_ssoul,a_72,s_soul,hasSubgenre
73_1975,a_73,y_1975,hasYear
73_aled_zeppelin,a_73,a_led_zeppelin,hasArtist
73_grock,a_73,g_rock,hasGenre
73_sclassic_rock,a_73,s_classic_rock,hasSubgenre
74_1970,a_74,y_1970,hasYear
74_aneil_young,a_74,a_neil_young,hasArtist
74_grock,a_74,g_rock,hasGenre
74_srock___roll,a_74,s_rock___roll,hasSubgenre
74_scountry_rock,a_74,s_country_rock,hasSubgenre
75_1991,a_75,y_1991,hasYear
75_ajames_brown,a_75,a_james_brown,hasArtist
75_gfunk___soul,a_75,g_funk___soul,hasGenre
75_ssoul,a_75,s_soul,hasSubgenre
